field_path,classification,notes/purpose,present_in
_id,Quasi-PII,External application identifier.,raw|curated|analysis
age_band,Non-PII,Privacy-preserving derived age representation.,analysis
applicant_info.date_of_birth,PII,Source supports multiple date formats.,raw|curated
applicant_info.email,PII,Direct identifier and contact field.,raw|curated
applicant_info.full_name,PII,Direct identifier.,raw|curated
applicant_info.gender,Quasi-PII,Allowed source variants: Male/Female/M/F.,raw|curated|analysis
applicant_info.ip_address,PII,Device/network identifier.,raw|curated
applicant_info.ssn,PII,National identifier.,raw|curated
applicant_info.zip_code,Quasi-PII,Location quasi-identifier.,raw|curated|analysis
applicant_pseudo_id,Quasi-PII,Salted SHA-256 pseudonym used for analysis linkage.,analysis
decision.approved_amount,Non-PII,Required when loan_approved=True.,raw|curated|analysis
decision.interest_rate,Non-PII,Required when loan_approved=True.,raw|curated|analysis
decision.loan_approved,Non-PII,Decision flag.,raw|curated|analysis
decision.rejection_reason,Non-PII,Required when loan_approved=False.,raw|curated|analysis
financials.annual_income,Non-PII,May drift into annual_salary.,raw|curated|analysis
financials.annual_salary,Non-PII,Field drift variant for annual_income.,raw|curated|analysis
financials.credit_history_months,Non-PII,Must be >= 0.,raw|curated|analysis
financials.debt_to_income,Non-PII,"Expected range [0, 1].",raw|curated|analysis
financials.savings_balance,Non-PII,Must be >= 0.,raw|curated|analysis
loan_purpose,Non-PII,Optional top-level context field.,raw|curated|analysis
notes,Non-PII,Optional operational notes.,raw|curated|analysis
processing_timestamp,Non-PII,Processing event time used for canonical selection.,raw|curated|analysis
pseudo_id_source,Non-PII,Indicates whether SSN or fallback source was used.,analysis
spending_behavior[].amount,Non-PII,Spending amount must be >= 0.,raw|curated
spending_behavior[].category,Non-PII,Spending category label.,raw|curated
