stage,issue_type,field_path,rule_id,description,count,percent,severity,example_application_ids,rule_key,rule_family,field_path_annotated,source_columns,value_source,dataset_scope,denominator,count_unit
pre,Completeness,processing_timestamp,R_APP_001,Missing or blank processing timestamp.,440,87.65,high,app_001|app_002|app_003|app_004|app_005,flag_missing_processing_timestamp,APP,processing_timestamp_raw,raw_processing_timestamp,raw,raw,application_rows,rows
pre,Completeness,applicant_info.*,R_APP_002,One or more required applicant fields missing or blank.,8,1.59,high,app_001|app_075|app_120|app_165|app_268,flag_missing_required_applicant_field,APP,applicant_info.required_fields_raw,raw_applicant_full_name|raw_applicant_email|raw_applicant_ssn|raw_applicant_ip_address|raw_applicant_gender|raw_applicant_date_of_birth|raw_applicant_zip_code,raw,raw,application_rows,rows
pre,Completeness,applicant_info.ssn|applicant_info.ip_address,R_APP_003,Both SSN and IP address missing/blank.,5,1.0,high,app_001|app_075|app_120|app_165|app_268,flag_missing_ssn_and_ip,APP,applicant_info.ssn_raw|applicant_info.ip_address_raw,raw_applicant_ssn|raw_applicant_ip_address,raw,raw,application_rows,rows
pre,Completeness,applicant_info.email,R_APP_004,Email missing or blank.,7,1.39,medium,app_075|app_120|app_165|app_268|app_350,flag_blank_email,APP,applicant_info.email_raw,raw_applicant_email,raw,raw,application_rows,rows
pre,Validity,applicant_info.email,R_APP_005,Email does not match expected format.,4,0.8,medium,app_068|app_146|app_204|app_299,flag_invalid_email,APP,applicant_info.email_raw,raw_applicant_email,raw,raw,application_rows,rows
pre,Consistency,applicant_info.gender,R_APP_006,Gender value requires canonical mapping (M/F to Male/Female).,111,22.11,low,app_004|app_016|app_019|app_020|app_023,flag_gender_needs_normalisation,APP,applicant_info.gender_raw,raw_applicant_gender,raw,raw,application_rows,rows
pre,Validity,applicant_info.gender,R_APP_007,Gender outside allowed source set.,0,0.0,medium,,flag_invalid_gender,APP,applicant_info.gender_raw,raw_applicant_gender,raw,raw,application_rows,rows
pre,Consistency,applicant_info.date_of_birth,R_APP_008,DOB not in canonical YYYY-MM-DD format.,157,31.27,low,app_004|app_005|app_014|app_019|app_020,flag_dob_non_iso_format,APP,applicant_info.date_of_birth_raw,raw_applicant_date_of_birth,raw,raw,application_rows,rows
pre,Consistency,applicant_info.date_of_birth,R_APP_009,DOB format is ambiguous NN/NN/YYYY.,39,7.77,medium,app_021|app_086|app_089|app_091|app_130,flag_dob_ambiguous_format,APP,applicant_info.date_of_birth_raw,raw_applicant_date_of_birth,raw,raw,application_rows,rows
pre,Consistency,financials.annual_income,R_APP_010,Annual income stored as string instead of numeric.,8,1.59,low,app_026|app_088|app_135|app_180|app_224,flag_annual_income_string_type,APP,financials.annual_income_raw,raw_financial_annual_income,raw,raw,application_rows,rows
pre,Consistency,financials.annual_salary,R_APP_011,Annual salary provided while annual income missing (field drift).,5,1.0,medium,app_421|app_436|app_449|app_463|app_479,flag_financial_field_drift_salary,APP,financials.annual_income_raw|financials.annual_salary_raw,raw_financial_annual_income|raw_financial_annual_salary,raw,raw,application_rows,rows
pre,Validity,financials.credit_history_months,R_APP_012,Credit history months is negative.,2,0.4,high,app_043|app_156,flag_credit_history_negative,APP,financials.credit_history_months_raw,raw_financial_credit_history_months,raw,raw,application_rows,rows
pre,Validity,financials.savings_balance,R_APP_013,Savings balance is negative.,1,0.2,high,app_290,flag_savings_negative,APP,financials.savings_balance_raw,raw_financial_savings_balance,raw,raw,application_rows,rows
pre,Validity,financials.debt_to_income,R_APP_014,"Debt-to-income is outside [0, 1].",1,0.2,high,app_402,flag_dti_out_of_range,APP,financials.debt_to_income_raw,raw_financial_debt_to_income,raw,raw,application_rows,rows
pre,Cross-field logic,decision.loan_approved,R_APP_015,Approved loan missing approved_amount and/or interest_rate.,0,0.0,high,,flag_approved_missing_required_fields,APP,decision.loan_approved_raw,raw_decision_loan_approved|raw_decision_approved_amount|raw_decision_interest_rate,raw,raw,application_rows,rows
pre,Cross-field logic,decision.rejection_reason,R_APP_016,Rejected loan missing rejection_reason.,0,0.0,medium,,flag_rejected_missing_reason,APP,decision.loan_approved_raw|decision.rejection_reason_raw,raw_decision_loan_approved|raw_decision_rejection_reason,raw,raw,application_rows,rows
pre,Plausibility,financials.credit_history_months,R_APP_017,Loan approved with zero months of credit history.,11,2.19,medium,app_047|app_144|app_195|app_223|app_286,flag_approved_credit_history_zero,APP,decision.loan_approved_raw|financials.credit_history_months_raw,raw_decision_loan_approved|raw_financial_credit_history_months,raw,raw,application_rows,rows
pre,Plausibility,financials.credit_history_months,R_APP_018,Loan approved with less than 6 months of credit history.,18,3.59,medium,app_043|app_047|app_144|app_195|app_223,flag_approved_credit_history_lt6,APP,decision.loan_approved_raw|financials.credit_history_months_raw,raw_decision_loan_approved|raw_financial_credit_history_months,raw,raw,application_rows,rows
pre,Synthetic indicator,applicant_info.ip_address,R_APP_019,IP address is private-range (likely masked/synthetic).,497,99.0,low,app_001|app_002|app_003|app_004|app_005,flag_private_ip_address,APP,applicant_info.ip_address_raw,raw_applicant_ip_address,raw,raw,application_rows,rows
pre,Uniqueness,_id,R_DUP_001,Rows with duplicated application_id values.,4,0.8,high,app_001|app_042,dup_rows_application_id,DUP,_id_duplicate_rows,application_id|is_duplicate_id,metadata,quality,application_rows,rows
pre,Uniqueness,_id,R_DUP_002,Distinct application_id keys that are duplicated.,2,0.4,high,app_001|app_042,dup_distinct_application_id,DUP,_id_duplicate_distinct_ids,application_id,metadata,quality,application_rows,distinct_ids
pre,Uniqueness,applicant_info.ssn,R_DUP_003,Rows where SSN repeats across one or more records.,6,1.2,high,app_016|app_042|app_088|app_101|app_234,dup_rows_ssn,DUP,applicant_info.ssn_duplicate_rows,raw_applicant_ssn|application_id,raw,quality,application_rows,rows
pre,Uniqueness,applicant_info.ssn,R_DUP_004,Distinct SSN values that appear across different application IDs.,2,0.4,high,app_016|app_088|app_101|app_234,dup_distinct_ssn_cross_app,DUP,applicant_info.ssn_cross_application_distinct,raw_applicant_ssn|application_id,raw,quality,application_rows,distinct_ids
pre,Completeness,spending_behavior[].category,R_SPN_001,Spending category missing or blank.,0,0.0,medium,,flag_spending_missing_category,SPN,spending_behavior[].category_raw,raw_category,raw,raw,spending_rows,rows
pre,Validity,spending_behavior[].amount,R_SPN_002,Spending amount cannot be parsed as numeric.,0,0.0,high,,flag_spending_amount_non_numeric,SPN,spending_behavior[].amount_raw,raw_amount,raw,raw,spending_rows,rows
pre,Validity,spending_behavior[].amount,R_SPN_003,Spending amount is negative.,0,0.0,high,,flag_spending_amount_negative,SPN,spending_behavior[].amount_raw,raw_amount,raw,raw,spending_rows,rows
